ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,-8705.44562263586,2010.7666173592186,2010.766619431782,-8705.44562263586,-8705.44562263586,10716.212241027537,10716.212241027537,10716.212241027537,10716.212241027537,10716.212241027537,10716.212241027537,0.0,0.0,0.0,2010.7666183916772
2020-04-01,-8725.638155946765,2030.2813621933622,2030.281364214804,-8725.638155946765,-8725.638155946765,10755.919519110907,10755.919519110907,10755.919519110907,10755.919519110907,10755.919519110907,10755.919519110907,0.0,0.0,0.0,2030.281363164142
2020-07-01,-8756.27431240495,2070.7770554111303,2070.7770575783097,-8756.27431240495,-8756.27431240495,10827.051368890818,10827.051368890818,10827.051368890818,10827.051368890818,10827.051368890818,10827.051368890818,0.0,0.0,0.0,2070.7770564858674
2020-10-01,-8714.70264725895,2091.911740183457,2091.9117422319036,-8714.70264725895,-8714.70264725895,10806.614388492342,10806.614388492342,10806.614388492342,10806.614388492342,10806.614388492342,10806.614388492342,0.0,0.0,0.0,2091.9117412333926
2021-01-01,-8673.130980699498,2110.223543104617,2110.2235452709747,-8673.130980699498,-8673.130980699498,10783.354524925095,10783.354524925095,10783.354524925095,10783.354524925095,10783.354524925095,10783.354524925095,0.0,0.0,0.0,2110.223544225597
2021-04-01,-8624.54826396082,2172.2821160550884,2172.2821181195873,-8624.54826396082,-8624.54826396082,10796.83038109677,10796.83038109677,10796.83038109677,10796.83038109677,10796.83038109677,10796.83038109677,0.0,0.0,0.0,2172.28211713595
2021-07-01,-8575.174849153365,2301.369398571398,2301.369400726907,-8575.174849153365,-8575.174849153365,10876.544248789041,10876.544248789041,10876.544248789041,10876.544248789041,10876.544248789041,10876.544248789041,0.0,0.0,0.0,2301.369399635676
2021-10-01,-8524.753863901024,2273.4839909171906,2273.4839930772696,-8524.753863901024,-8524.753863901024,10798.237855939762,10798.237855939762,10798.237855939762,10798.237855939762,10798.237855939762,10798.237855939762,0.0,0.0,0.0,2273.4839920387385
2022-01-01,-8473.310618501713,2310.357994615662,2310.357996773132,-8473.310618501713,-8473.310618501713,10783.66861423613,10783.66861423613,10783.66861423613,10783.66861423613,10783.66861423613,10783.66861423613,0.0,0.0,0.0,2310.3579957344173
2022-04-01,-8435.53198522954,2365.410817928812,2365.4108200544847,-8435.53198522954,-8435.53198522954,10800.94280422273,10800.94280422273,10800.94280422273,10800.94280422273,10800.94280422273,10800.94280422273,0.0,0.0,0.0,2365.4108189931903
2022-07-01,-8389.070359005435,2480.8543049701007,2480.8543071753656,-8389.070359005435,-8389.070359005435,10869.924665096063,10869.924665096063,10869.924665096063,10869.924665096063,10869.924665096063,10869.924665096063,0.0,0.0,0.0,2480.8543060906286
2022-10-01,-8342.098163206876,2425.698823103727,2425.698825196881,-8342.098163206876,-8342.098163206876,10767.79698736654,10767.79698736654,10767.79698736654,10767.79698736654,10767.79698736654,10767.79698736654,0.0,0.0,0.0,2425.6988241596646
2023-01-01,-8353.875202683152,2407.1658940225716,2407.1658961498993,-8353.875202683152,-8353.875202683152,10761.041097766534,10761.041097766534,10761.041097766534,10761.041097766534,10761.041097766534,10761.041097766534,0.0,0.0,0.0,2407.1658950833826
2023-04-01,-8365.244070496428,2402.604891334465,2402.6048934297887,-8365.244070496428,-8365.244070496428,10767.848962896333,10767.848962896333,10767.848962896333,10767.848962896333,10767.848962896333,10767.848962896333,0.0,0.0,0.0,2402.604892399904
2023-07-01,-8386.713810319632,2421.218811413201,2421.2188134921635,-8386.713810319632,-8386.713810319632,10807.932622706607,10807.932622706607,10807.932622706607,10807.932622706607,10807.932622706607,10807.932622706607,0.0,0.0,0.0,2421.2188123869746
2023-10-01,-8413.586574698104,2300.3911926598257,2300.3911946729936,-8413.586574698104,-8413.586574698104,10713.97776844979,10713.97776844979,10713.97776844979,10713.97776844979,10713.97776844979,10713.97776844979,0.0,0.0,0.0,2300.391193751686
2024-01-01,-8440.9505370526,2275.2617028562936,2275.261705124326,-8440.9505370526,-8440.9505370526,10716.212241023408,10716.212241023408,10716.212241023408,10716.212241023408,10716.212241023408,10716.212241023408,0.0,0.0,0.0,2275.2617039708075
2024-04-01,-8468.01706503368,2287.902452985636,2287.902455136399,-8468.01706503368,-8468.01706503368,10755.919519122921,10755.919519122921,10755.919519122921,10755.919519122921,10755.919519122921,10755.919519122921,0.0,0.0,0.0,2287.9024540892406
2024-07-01,-8495.08359301476,2331.967774846929,2331.9677769384984,-8495.08359301476,-8495.08359301476,10827.051368891951,10827.051368891951,10827.051368891951,10827.051368891951,10827.051368891951,10827.051368891951,0.0,0.0,0.0,2331.9677758771904
2024-10-01,-8522.44755536926,2284.166832144788,2284.1668342004928,-8522.44755536926,-8522.44755536926,10806.614388494872,10806.614388494872,10806.614388494872,10806.614388494872,10806.614388494872,10806.614388494872,0.0,0.0,0.0,2284.1668331256133
2024-12-31,-8549.51408335034,2091.326785045412,2109.401950972484,-8558.623979385495,-8540.548813658583,10649.950765105237,10649.950765105237,10649.950765105237,10649.950765105237,10649.950765105237,10649.950765105237,0.0,0.0,0.0,2100.436681754898
2025-03-31,-8576.283176957999,1984.288133398983,2041.5942055128883,-8604.416074028919,-8547.110002677724,10588.704207895946,10588.704207895946,10588.704207895946,10588.704207895946,10588.704207895946,10588.704207895946,0.0,0.0,0.0,2012.4210309379469
2025-06-30,-8603.34970493908,1866.4897940216035,1973.1304506103015,-8654.662985922963,-8548.022329143723,10521.152780146966,10521.152780146966,10521.152780146966,10521.152780146966,10521.152780146966,10521.152780146966,0.0,0.0,0.0,1917.8030752078848
2025-09-30,-8630.713667293578,1818.73084755446,1990.5908812027874,-8712.378708614791,-8540.518676624586,10531.109557248825,10531.109557248825,10531.109557248825,10531.109557248825,10531.109557248825,10531.109557248825,0.0,0.0,0.0,1900.3958899552472
2025-12-31,-8658.077629648076,1791.2673885627462,2031.0306778601478,-8771.78422382171,-8532.020932267935,10563.051612098809,10563.051612098809,10563.051612098809,10563.051612098809,10563.051612098809,10563.051612098809,0.0,0.0,0.0,1904.9739824507324
2026-03-31,-8684.846723255738,1606.8075117519516,1925.3563613401966,-8835.327017557685,-8516.778168239058,10442.13452959324,10442.13452959324,10442.13452959324,10442.13452959324,10442.13452959324,10442.13452959324,0.0,0.0,0.0,1757.2878063375028
2026-06-30,-8711.913251236818,1393.2227861922895,1800.1913787637038,-8904.977618311736,-8498.009026137093,10298.200404468666,10298.200404468666,10298.200404468666,10298.200404468666,10298.200404468666,10298.200404468666,0.0,0.0,0.0,1586.2871532318477
2026-09-30,-8739.277213591315,1421.6699264125557,1915.4085457502276,-8977.933098108475,-8484.194478368856,10399.603024962273,10399.603024962273,10399.603024962273,10399.603024962273,10399.603024962273,10399.603024962273,0.0,0.0,0.0,1660.325811370958
